mssv,namsinh,gioitinh,drl,diem_tt,dtb_toankhoa,dtb_tichluy,sotc_tichluy,diemtbhk_1,diemtbhk_2,diemtbhk_3,diemtbhk_4,diemtbhk_5,diemtbhk_6,diemtbhk_7,diemtbhk_8
3B79770BXPvAibaEXe8T1DiYsmlfsTrtaSBTtxta,17.0,0,68.0,26.0,4.04,4.04,54.0,5.92,3.48,6.0,2.25,3.82,4.31,0.95,3.818571428571428
3B7F2681XPvAibaEXe+aquNtcMIbv0MogmjrPfra,22.0,0,82.10591293047433,23.25,7.88,7.88,127.0,7.91,7.09,7.81,7.67,8.33,8.16,8.54,7.93
3B867FC8XPvAibaEXe8JVGhFAfQ9U1Z7Qq53Bl+a,19.0,0,65.0,30.0,8.06,8.06,26.0,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06
3B903658XPvAibaEXe+oo0hccQuSuCJ/09Amk75g,21.0,0,78.33960814444872,19.7,7.56,7.56,146.0,5.83,7.28,7.05,7.67,8.15,7.98,7.47,8.6
3B9BB2F0XPvAibaEXe88L+jeN4TPm0xmMrmhcCjI,19.0,0,62.81791285637439,21.75,7.57,7.57,152.0,7.21,6.45,7.94,8.29,5.86,7.14,6.34,8.24
3BA2001AXPvAibaEXe8z1Io4iT8HJMGETGEwyWJt,17.0,0,77.0,26.0,6.9,6.9,142.0,6.32,6.49,7.62,7.39,5.28,5.53,7.88,5.93
3BA2638AXPvAibaEXe80CLygfiFTYIF9lGijqsfM,17.0,0,73.0,24.5,6.78,6.78,148.0,7.65,6.61,5.84,5.97,4.6,6.95,7.48,6.1
3BA3680FXPvAibaEXe8qsJChBuF6jjRObBjbHo/G,19.0,0,85.0,30.0,3.24,3.24,25.0,5.38,1.57,2.98,3.18,0.81,2.784,2.784,2.784
3BA88136XPvAibaEXe++eRN1Fgsl0PdvMXkH8ZRk,19.0,0,93.0,30.0,7.12,7.12,54.0,7.52,6.77,7.1,0.0,5.3475,5.3475,5.3475,5.3475
3BB273B4XPvAibaEXe8zgH8M9OgLp5yb6TQDhavR,19.0,0,97.0,30.0,8.34,8.34,113.0,9.1,8.63,8.17,7.59,8.41,8.379999999999999,8.379999999999999,8.379999999999999
3BBD5289XPvAibaEXe+bjXHpHbMqALhQziKtMp+5,19.0,0,86.0,30.0,7.98,7.98,22.0,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98
3BBDE6CEXPvAibaEXe/Yf94kvrQAIhV6rZyPgAvv,19.0,0,86.0,30.0,7.01,7.01,58.0,6.7,7.39,7.15,7.080000000000001,7.080000000000001,7.080000000000001,7.080000000000001,7.080000000000001
3BC1E78EXPvAibaEXe9zkQY6ucuvgG+vVB9Kue9g,22.0,0,82.10591293047433,19.35,6.4,6.4,104.0,6.09,6.02,5.71,6.86,6.64,6.63,6.86,6.401428571428572
3BC2E0A0XPvAibaEXe+RcXBCh0sWXkHjtxm0kDEq,19.0,0,50.0,30.0,1.24,1.24,0.0,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
3BC311F7XPvAibaEXe+D/rLOK41HOqZXWbQmgYSU,19.0,0,90.0,30.0,7.55,7.55,99.0,7.06,7.62,7.75,8.49,7.26,7.636,7.636,7.636
3BC3A57BXPvAibaEXe+fBpTg8OXoupFSZJebAGRu,20.0,0,75.65553494124923,22.5,7.36,7.36,133.0,2.79,6.5042857142857144,7.38,5.76,6.64,8.96,6.67,7.33
3BD02554XPvAibaEXe/3wuT/psvviVIxKx3LsKu5,20.0,0,75.65553494124923,21.25,4.94,4.94,56.0,6.0,3.89,2.67,1.96,3.7,3.46,5.14,4.86
3BD1C2F0XPvAibaEXe9qZviAmCDqBwk5vV7lVMyb,19.0,0,92.0,30.0,7.16,7.16,89.0,6.89,7.24,7.46,6.96,7.07,7.1240000000000006,7.1240000000000006,7.1240000000000006
3BD33C22XPvAibaEXe/xn91tBWVNDWhtC0SguqJH,21.0,0,78.33960814444872,19.25,8.19,8.19,147.0,7.54,7.79,7.75,8.09,8.51,8.84,8.65,8.23
3BD93A12XPvAibaEXe+B4ljoCmCsukCLkltsNOcs,19.0,0,100.0,30.0,8.38,8.38,58.0,8.6,8.36,8.24,0.0,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001
3BDDB2D7XPvAibaEXe+EtEAwqwiR9xnZVi94n3i0,19.0,0,75.19813454155285,30.0,5.23,5.23,81.0,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73
3BE63121XPvAibaEXe9CNoSsNIodZ+dTiP58qxeU,21.0,0,78.33960814444872,19.75,6.84,6.84,125.0,6.0,4.8,4.48,6.43,6.34,7.66,7.56,7.05
3BEA040AXPvAibaEXe/45+b0LBlJ7IY5Q9BD0gFA,18.0,0,70.58465346534653,21.75,7.0,7.0,153.0,8.07,6.47,6.62,6.68,6.82,6.8,7.06,5.1
3BF1D313XPvAibaEXe++R9hzjt1s7wg5K5BGjZVo,18.0,0,70.58465346534653,21.5,7.68,7.68,153.0,8.09,7.04,7.4,7.35,8.0,7.49,8.12,7.63
3BF21203XPvAibaEXe9UtuX6jG5J8eYkK0Vmbk/u,19.0,0,75.19813454155285,30.0,7.54,7.54,56.0,7.996666666666667,6.53,7.46,10.0,7.996666666666667,7.996666666666667,7.996666666666667,7.996666666666667
3BF5FDDCXPvAibaEXe9dKITjhF3qTVm6H0rizjd2,18.0,0,70.58465346534653,21.75,7.06,7.06,147.0,7.45,7.36,7.33,6.59,5.98,6.95,6.99,4.54
3BFCC817XPvAibaEXe/bcCn8ANC28DzGxTZ8VUFa,22.0,0,82.10591293047433,21.85,6.79,6.79,125.0,7.25,6.41,6.17,6.41,7.02,6.96,6.89,6.7299999999999995
3C013FA6XPvAibaEXe+l62icawnoYlrJzEmE/XsI,22.0,0,82.10591293047433,24.15,8.29,8.29,127.0,8.29,8.17,7.46,8.5,8.73,8.37,8.95,8.352857142857143
3C061634XPvAibaEXe+IUXdezTp2cx/5RsLJUS0e,19.0,0,83.0,30.0,6.4,6.4,80.0,6.16,5.56,7.2,6.73,5.2,6.17,6.17,6.17
3C1AC214XPvAibaEXe/kJUgsv26Ua9Wx7QQ3WPtB,17.0,1,80.0,24.5,6.76,6.76,153.0,5.96,7.18,6.69,6.78,6.1,6.89,5.8,6.58
3C1B8FD6XPvAibaEXe9tVd6vhP62hzaHhRsdB39M,21.0,1,78.33960814444872,30.0,7.78,7.78,136.0,6.32,5.82,6.59,8.34,8.07,8.72,8.03,8.74
3C1C96A3XPvAibaEXe/k62DFAfrQTg4AUr4xsSDd,17.0,0,64.0,28.0,7.57,7.57,149.0,7.82,6.33,7.5,7.02,6.83,7.77,7.56,7.91
3C2AB0B0XPvAibaEXe8fpIOrswHcsb2UlS3PMMsl,19.0,0,85.0,30.0,8.52,8.52,30.0,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52
3C2DDB97XPvAibaEXe+F47DLdH7neaLjLr8Pk2Os,21.0,0,78.33960814444872,30.0,8.7,8.7,135.0,9.31,8.94,8.23,8.08,8.91,9.08,8.7,0.0
3C303D57XPvAibaEXe/nRR7q+hWy3Opqpurh7Okn,16.0,0,77.0,26.0,6.89,6.89,148.0,4.54,3.08,0.0,6.01,6.05,4.92,6.47,7.39
3C342700XPvAibaEXe9wQ8rkPICemKUxomFBsH4h,19.0,0,62.81791285637439,30.0,7.27,7.27,138.0,7.85,7.49,7.12,6.62,7.6,8.25,6.66,6.61
3C3F1D38XPvAibaEXe89uaQhuJG/N4TkHn/AIrSY,19.0,0,95.0,30.0,6.49,6.49,10.0,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49
3C3FFACFXPvAibaEXe/sKOWIYAkjtmLKNosE4Zt0,21.0,0,78.33960814444872,20.65,5.44,5.44,28.0,7.53,3.44,5.485,5.485,5.485,5.485,5.485,5.485
3C4B7384XPvAibaEXe8Xr3ULxehOvn5YtkKbP6/T,19.0,0,91.0,30.0,8.19,8.19,22.0,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19
3C505858XPvAibaEXe8bHoSDwbr9UpHE0dqQVri8,22.0,1,82.10591293047433,23.5,8.56,8.56,148.0,8.24,9.02,8.17,8.49,9.02,8.07,8.89,8.557142857142857
3C5C5911XPvAibaEXe85hkLGQAJy3f0eX0aXMlMr,21.0,0,78.33960814444872,19.55,6.59,6.59,139.0,6.25,5.82,5.75,7.53,7.38,8.36,4.9,6.57
3C5CB872XPvAibaEXe90TjJq9LqiZgr37AjlEGA5,20.0,1,75.65553494124923,24.75,6.96,6.96,142.0,6.33,6.53,6.55,6.9,7.14,6.51,7.24,6.89
3C5F26E5XPvAibaEXe/RTfMBxsNERTh97TA1d2h8,22.0,0,82.10591293047433,30.0,5.78,5.78,72.0,7.36,3.98,4.75,4.65,5.248,5.248,5.5,5.248
3C5FCE3AXPvAibaEXe9ggqkCdMDyeAp47eTlPNvF,20.0,0,75.65553494124923,24.25,7.8,7.8,157.0,7.54,7.7,7.41,7.56,7.65,7.6,8.77,8.41
3C63ABFEXPvAibaEXe/JKySBFnJ8Ih+HOeWf0RU7,17.0,0,68.0,26.5,8.14,8.14,149.0,7.71,7.55,8.13,8.32,8.36,7.91,8.51,8.37
3C65A25EXPvAibaEXe998fVikzcJIuk4ang3tj+3,19.0,0,62.81791285637439,22.25,8.15,8.15,159.0,8.64,7.66,8.47,7.68,7.93,7.67,8.22,8.78
3C784032XPvAibaEXe+HLUCsScXdBrZk+GxqlPOM,19.0,0,100.0,30.0,8.26,8.26,62.0,8.43,8.4,7.89,8.24,8.24,8.24,8.24,8.24
3C7C12EFXPvAibaEXe/k62DFAfrQTjVXd+9viWQJ,17.0,0,88.0,26.5,7.63,7.63,144.0,7.97,7.74,8.15,7.57,7.69,6.93,6.97,7.574285714285714
3C807676XPvAibaEXe/i2i83dSMSWeSOWhdvBH99,19.0,0,72.0,30.0,7.72,7.72,30.0,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72
3C82D41FXPvAibaEXe9+dT4FRTt+Q86M0DpFf9k5,17.0,1,70.58465346534653,24.0,8.54,8.54,153.0,8.72,8.81,8.43,8.82,8.0,8.65,8.59,8.26
3C87D45FXPvAibaEXe+eRvTdABjauVt7fsTfssRb,19.0,0,100.0,30.0,3.82,3.82,13.0,6.35,1.57,3.96,3.96,3.96,3.96,3.96,3.96
3C890973XPvAibaEXe/wM5TrBBCDMZctOeF4oeIf,18.0,0,70.58465346534653,24.5,7.79,7.79,155.0,8.71,7.16,7.37,8.1,7.35,7.37,7.53,8.71
3C899AD2XPvAibaEXe+eRvTdABjauV+30EJw9VoK,19.0,0,83.0,30.0,5.27,5.27,58.0,4.64,6.24,5.44,2.31,6.16,0.0,4.131666666666667,4.131666666666667
3C97B80FXPvAibaEXe8qwxsYP7Gy4aaVTx1vwq+q,21.0,0,78.33960814444872,20.35,7.69,7.69,132.0,7.99,5.92,5.93,7.45,8.05,8.99,9.08,7.630000000000001
3CA2ACDEXPvAibaEXe8viFE72aSvBiiv5hdYfI5G,19.0,0,100.0,30.0,7.61,7.61,100.0,7.0,7.62,7.7,7.44,8.18,7.587999999999999,7.587999999999999,7.587999999999999
3CA2F06BXPvAibaEXe9kkdDkOt5iFu++oQ526GXI,18.0,0,70.58465346534653,22.75,4.47,4.47,41.0,6.18,0.19,4.54,1.89,5.72,0.27,3.14,1.53
3CA34866XPvAibaEXe9pXJcjrAt8Xg1j3jOTybtN,20.0,0,75.65553494124923,24.5,6.54,6.54,136.0,2.35,4.82,4.55,6.54,6.46,7.56,7.12,7.02
3CB152EEXPvAibaEXe/UMrtD+fQVrKyP4LEMo+j6,19.0,0,87.0,30.0,6.93,6.93,28.0,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93
3CB22BDCXPvAibaEXe+bnYbevupsw4yUo/ivj60I,21.0,1,78.33960814444872,24.72529285260143,8.21,8.21,126.0,8.03,8.05,7.66,8.47,8.03,8.54,8.77,9.5
3CB24347XPvAibaEXe83EtiN4MI2ntso94rp+aT8,16.0,0,78.74455162558057,28.0,6.46,6.46,157.0,5.93,5.86,6.17,6.52,6.37,7.0,5.69,4.73
3CB24C2AXPvAibaEXe/A0C8NKWg+cH2j4AGcP4lH,20.0,0,75.65553494124923,27.5,6.23,6.23,130.0,6.47,6.67,6.05,6.4,2.9,5.6,0.94,4.86
3CB648A6XPvAibaEXe/JKySBFnJ8Ig3aWxpy6hV1,17.0,0,68.0,26.5,7.21,7.21,147.0,6.76,6.08,7.18,7.25,5.98,6.33,7.43,6.95
3CB71145XPvAibaEXe+eLIaWcq1sIx2cfRbCXkac,21.0,0,78.33960814444872,21.5,7.16,7.16,136.0,6.74,5.19,5.47,6.85,7.01,7.32,8.72,5.0
3CC3E7D3XPvAibaEXe9r7HFHeYfyEDDMmes9mjB9,19.0,0,90.0,30.0,8.14,8.14,100.0,8.42,8.35,8.37,7.56,8.17,8.174000000000001,8.174000000000001,8.174000000000001
3CCE9129XPvAibaEXe920ZfQd1pG7V3K8tQa+G/c,19.0,0,73.0,30.0,7.43,7.43,26.0,7.43,7.43,7.43,7.43,7.43,7.43,7.43,7.43
3CCF8ADCXPvAibaEXe/4YH02BDnyTkK23kPe0dKi,21.0,0,78.33960814444872,24.41498256959921,8.01,8.01,143.0,7.73,6.45,8.01,8.0,8.1,8.83,9.07,0.0
3CD1D0E9XPvAibaEXe92Umf5pb/tttzMixAKhFrF,21.0,0,78.33960814444872,30.0,8.3,8.3,141.0,8.74,8.65,7.69,7.42,9.09,8.0,8.32,8.64
3CD292F0XPvAibaEXe/Ca0OCiMMR5QzyXtgvXgoK,19.0,0,100.0,30.0,8.48,8.48,66.0,8.9,8.33,8.18,8.47,8.47,8.47,8.47,8.47
3CDC8985XPvAibaEXe9PMC4shTguoxM26tiaMeEn,20.0,0,78.33960814444872,30.0,1.82,1.82,2.0,2.87,0.89,1.8800000000000001,1.8800000000000001,1.8800000000000001,1.8800000000000001,1.8800000000000001,1.8800000000000001
3CDFD13AXPvAibaEXe+duwZbUJ/33VWy/WZEm7+n,19.0,0,100.0,30.0,8.47,8.47,52.0,8.85,8.49,8.16,8.5,8.5,8.5,8.5,8.5
3CE26715XPvAibaEXe/n+I5VgvrL46FyQZF8CDJ+,19.0,0,78.0,30.0,3.04,3.04,26.0,3.33,2.765,3.94,2.47,1.32,2.765,2.765,2.765
3D086D70XPvAibaEXe8JWtGEakXx00x2mdwSWeG/,19.0,0,100.0,30.0,8.58,8.58,57.0,9.28,8.81,7.64,8.576666666666666,8.576666666666666,8.576666666666666,8.576666666666666,8.576666666666666
3D0FEEA2XPvAibaEXe+pxEcdKHND3I5gngZwVXVQ,19.0,0,95.0,30.0,8.01,8.01,61.0,8.12,8.12,7.82,8.02,8.02,8.02,8.02,8.02
3D11D120XPvAibaEXe/baq/wvVlH/kAQCmuXtPcp,20.0,0,75.65553494124923,24.75,7.79,7.79,138.0,8.06,7.84,7.7,7.17,6.76,7.86,8.01,8.8
3D206BDAXPvAibaEXe/3J7XmZuxojDPzsnJM3lLx,19.0,0,95.0,30.0,9.22,9.22,30.0,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22
3D247FD3XPvAibaEXe+PYhTHWVfmAtXV/shQ0G40,22.0,0,82.10591293047433,24.5,5.61,5.61,64.0,7.46,6.85,6.51,7.3,1.75,5.974,5.974,5.974
3D2643B9XPvAibaEXe/NRwqjPAC0MGsMXVlpe/gY,17.0,0,71.0,26.0,6.83,6.83,142.0,5.88,5.28,6.2,5.51,7.15,6.72,7.56,6.73
3D2D8E88XPvAibaEXe+NDo030EtOPD+74nW0Wnao,19.0,0,87.0,30.0,3.59,3.59,37.0,3.25,0.75,4.42,4.74,2.21,3.0740000000000003,3.0740000000000003,3.0740000000000003
3D2DDBBCXPvAibaEXe/k5cHhyiupXOtCdONJM27A,22.0,1,82.10591293047433,22.0,7.58,7.58,125.0,8.86,7.52,6.75,7.32,8.35,7.58,6.76,7.591428571428571
3D305322XPvAibaEXe9mNMzpS14VgYeOwVLzKk9K,20.0,0,75.65553494124923,25.0,1.68,1.68,2.0,3.11,1.9,1.38,0.05,1.6099999999999999,1.6099999999999999,1.6099999999999999,1.6099999999999999
3D38A0F6XPvAibaEXe9oenRjqNmEX73VlChhVH0l,17.0,0,85.0,27.0,6.81,6.81,155.0,6.8,4.14,5.13,7.04,5.38,6.51,7.26,6.46
3D3D9084XPvAibaEXe8eWl5Nr7OWQrtifEgV2NNa,19.0,0,62.81791285637439,21.75,7.63,7.63,153.0,7.07,7.57,7.46,7.89,6.68,7.61,6.77,8.04
3D3E151DXPvAibaEXe/J0r+JN9xEWZHa62zCptgG,22.0,0,82.10591293047433,21.35,2.76,2.76,24.0,5.13,0.4,2.765,2.765,2.765,2.765,2.765,2.765
3D4925DEXPvAibaEXe8ElCvsRaR7dzQpSbjRCeNE,20.0,0,75.65553494124923,24.75,7.74,7.74,138.0,6.62,7.3,7.71,7.87,7.76,7.77,8.33,8.54
3D4AD6C3XPvAibaEXe9F+oU8wuNbqE7uTNvm7Nra,21.0,0,78.33960814444872,22.7,7.94,7.94,131.0,8.2,6.73,7.51,7.84,8.25,8.02,8.15,7.814285714285714
3D52676AXPvAibaEXe8IlpBhypyXxuXyRbOadj9h,17.0,0,88.0,19.5,8.42,8.42,155.0,7.56,8.53,7.87,8.49,9.05,8.1,8.54,9.54
3D566640XPvAibaEXe+HozZBb+7rZ990ZqjSt5C3,21.0,0,78.33960814444872,19.3,7.4,7.4,146.0,6.33,6.67,6.52,7.88,7.54,8.22,8.59,7.93
3D6433A1XPvAibaEXe+sY5a+0mlf7Qh8+QdVBp6p,19.0,0,100.0,30.0,8.27,8.27,56.0,8.88,7.87,8.13,8.293333333333335,8.293333333333335,8.293333333333335,8.293333333333335,8.293333333333335
3D6608DAXPvAibaEXe+2WNqGC1yvSGwgxeOlHZMp,19.0,0,97.0,30.0,8.09,8.09,91.0,7.78,8.39,8.17,7.76,8.36,8.092,8.092,8.092
3D671392XPvAibaEXe/uK56TxchG/RMKgfF58Yg/,19.0,0,84.0,30.0,6.67,6.67,33.0,7.8,7.21,5.73,6.913333333333334,6.913333333333334,6.913333333333334,6.913333333333334,6.913333333333334
3D6C6605XPvAibaEXe/8XquPxT92g5ms2EiocZpc,19.0,0,95.0,30.0,7.85,7.85,78.0,8.34,7.64,7.59,7.8566666666666665,7.8566666666666665,7.8566666666666665,7.8566666666666665,7.8566666666666665
3D74CA95XPvAibaEXe+bKRR4AXbeMmmi8VNDgvNU,19.0,0,100.0,30.0,7.86,7.86,32.0,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86
3D7792BFXPvAibaEXe+whDYzxQ4teSE6RZv/hxQ8,19.0,0,100.0,30.0,8.56,8.56,50.0,8.96,8.44,8.35,8.583333333333334,8.583333333333334,8.583333333333334,8.583333333333334,8.583333333333334
3D79068BXPvAibaEXe8at9gGXzJnLzPgEitHSMja,20.0,0,75.65553494124923,21.75,6.1,6.1,116.0,8.06,7.93,6.41,7.15,6.76,5.66,4.91,1.22
3D79DCB1XPvAibaEXe+0+eVMEKBIVTu6/Shrrzif,19.0,0,95.0,30.0,6.52,6.52,26.0,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
3D7B4DFBXPvAibaEXe//eUaw4J38K0EmakY/MxcV,18.0,0,70.58465346534653,23.0,8.03,8.03,148.0,6.85,8.16,7.92,8.23,7.13,8.23,8.58,8.85
3D7C70B7XPvAibaEXe+Ssm9D7QPetGlOXguVdZom,22.0,1,82.10591293047433,22.3,8.67,8.67,140.0,9.09,8.88,8.49,8.86,8.42,8.26,8.64,8.662857142857144
3D7FB239XPvAibaEXe+9W+M5mn1fijo7sU4U3CBc,19.0,0,100.0,30.0,7.69,7.69,59.0,8.05,7.26,7.75,7.686666666666667,7.686666666666667,7.686666666666667,7.686666666666667,7.686666666666667
3D841DAEXPvAibaEXe9WGATIMl02LJS8n1lLdF33,19.0,0,62.81791285637439,21.75,7.77,7.77,156.0,7.72,7.05,7.63,7.55,8.05,7.77,7.2,8.87
3D90AF90XPvAibaEXe+Ya8MABQC4RKkuyXvJxWE9,19.0,0,95.0,30.0,8.12,8.12,93.0,8.15,8.41,8.31,7.99,7.7,8.112000000000002,8.112000000000002,8.112000000000002
3D941ADDXPvAibaEXe8LPxrujEz9HtEQdKmvDiMU,19.0,0,100.0,30.0,7.77,7.77,18.0,7.77,7.77,7.77,7.77,7.77,7.77,7.77,7.77
3D94AABBXPvAibaEXe8XU1E8XgQL2L9f6WwoB2ic,20.0,0,75.65553494124923,23.5,4.46,4.46,69.0,6.03,6.32,5.82,3.78,3.58,0.0,2.33,0.0
3D99ADD8XPvAibaEXe+a2rx5n1rBdvfuoAhILSQf,19.0,0,90.0,30.0,7.05,7.05,103.0,7.71,7.55,7.06,6.03,6.86,7.042,7.042,7.042
3D9C71DCXPvAibaEXe/HavVGti21aB9dwKthfe4e,22.0,1,82.10591293047433,22.2,2.0,2.0,2.0,3.97,0.03,2.0,2.0,2.0,2.0,2.0,2.0
3D9DDCFDXPvAibaEXe+7Ce1uw1ikU67nTKQgT+mP,19.0,0,93.0,30.0,7.52,7.52,80.0,7.91,7.43,7.24,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666,7.526666666666666
3DA0838AXPvAibaEXe+Z64Gg7q108HgRHfls31Cx,18.0,0,70.58465346534653,22.0,5.36,5.36,98.0,6.85,6.56,4.99,5.75,5.11,3.74,4.47,3.2
3DAA4D96XPvAibaEXe+XJxqvVKJyDo0nQX1N6zdo,19.0,0,71.0,30.0,8.08,8.08,16.0,7.98,8.5,8.24,8.24,8.24,8.24,8.24,8.24
3DB0D49CXPvAibaEXe9syD7Vfew2qatpRlun+eRG,21.0,0,78.33960814444872,21.5,6.91,6.91,118.0,6.04,2.14,4.91,6.08,7.58,7.23,7.96,6.16
3DB0E77AXPvAibaEXe/V63KvIWwakANLSPUgdEXQ,20.0,0,75.65553494124923,27.25,7.69,7.69,143.0,7.62,7.58,7.74,7.06,7.71,7.65,8.37,8.6
3DB34210XPvAibaEXe8scZUjY2tXh0/vfnaoGGi5,18.0,1,70.58465346534653,23.5,7.93,7.93,149.0,8.78,7.19,7.76,8.01,7.49,8.08,8.52,7.96
3DB6AACCXPvAibaEXe+ywvHYTnIXuA/oCNtqy07Q,22.0,0,82.10591293047433,26.24496644424464,7.46,7.46,122.0,7.23,6.83,6.69,7.78,8.29,8.27,8.32,7.630000000000001
3DB7B47DXPvAibaEXe8tlOof474dkh9KM71w3Hax,19.0,0,86.0,30.0,8.0,8.0,30.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,19.0,0,62.81791285637439,22.25,6.39,6.39,148.0,5.71,1.35,4.37,5.38,6.42,5.08,5.32,6.8
3DC43738XPvAibaEXe+y9Z7iOH0a5I8E94o5j+59,19.0,0,83.0,30.0,6.38,6.38,70.0,5.61,6.96,6.21,6.08,7.34,6.44,6.44,6.44
3DD37B0FXPvAibaEXe/uepF/LZG2liFhF00eSMkN,19.0,0,100.0,30.0,8.63,8.63,50.0,8.73,8.57,8.58,8.626666666666667,8.626666666666667,8.626666666666667,8.626666666666667,8.626666666666667
3DD6D60BXPvAibaEXe/81GDNmtxKsSpculnFzj6s,18.0,0,62.81791285637439,23.0,7.02,7.02,144.0,7.22,5.9,7.19,6.84,7.12,6.95,6.76,7.71
3DD6F18CXPvAibaEXe9YXJ3+ew7OHEXS0l6PEXPK,18.0,0,70.58465346534653,22.0,6.48,6.48,156.0,7.02,5.87,5.58,5.59,5.48,5.89,7.14,5.3
3DE54CA2XPvAibaEXe+cv7qSCYkQesWI9sWob4cD,19.0,0,62.81791285637439,21.75,8.24,8.24,148.0,8.01,6.89,8.25,8.05,8.71,8.94,9.1,7.96
3DF0867FXPvAibaEXe8J1cEUcgbYoZZqNHEUiNfW,19.0,0,97.0,30.0,7.79,7.79,96.0,7.11,7.49,7.55,7.83,9.19,7.8340000000000005,7.8340000000000005,7.8340000000000005
3DF60F05XPvAibaEXe/9LBBkdbcCWKovwcgQ4mjo,22.0,0,82.10591293047433,24.0,5.53,5.53,102.0,5.63,3.99,6.1,3.95,7.84,7.02,2.25,5.2542857142857144
3DF93337XPvAibaEXe9UJtBa/m0OMlDlnMGN8CDs,22.0,0,82.10591293047433,21.5,6.23,6.23,112.0,4.87,6.04,5.46,6.98,6.58,5.72,5.78,5.918571428571428
3DFAFFD1XPvAibaEXe9qZviAmCDqB1xvIgXeXF4Y,19.0,0,92.0,30.0,7.03,7.03,104.0,6.85,7.02,7.64,7.18,6.57,7.052,7.052,7.052
3DFBB999XPvAibaEXe8CGo5TJgW8f7fz9t4Rhd5f,19.0,0,75.19813454155285,30.0,6.61,6.61,8.0,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61
3E0304C3XPvAibaEXe8cSwcDAK/pUDqvhen9Qukd,20.0,0,75.65553494124923,26.75,6.35,6.35,17.0,6.98,0.0,3.49,3.49,3.49,3.49,3.49,3.49
3E06F1BFXPvAibaEXe92/FvKjToSoQiUj6nE1xSf,22.0,0,82.10591293047433,24.25,8.17,8.17,137.0,8.0,9.02,7.58,7.19,7.84,8.74,8.78,8.164285714285715
3E06F5F2XPvAibaEXe/k62DFAfrQThk+ROX2XvGF,13.0,0,100.0,26.0,7.22,7.22,149.0,8.73,7.6,7.87,8.41,6.82,6.64,5.92,5.95
3E0D6147XPvAibaEXe/YKN5ysyYL7H1dbPhtPzOC,16.0,0,78.74455162558057,25.0,6.05,6.05,142.0,3.91,2.71,4.83,5.37,6.43,5.63,6.29,4.93
3E1131D1XPvAibaEXe+HzQxlRR1WqlCVRKuTCn0N,21.0,0,78.33960814444872,30.0,7.18,7.18,131.0,8.14,8.12,6.43,8.08,6.82,6.2,6.66,7.207142857142857
3E12C857XPvAibaEXe/F8UIBT+N0T1fij5IWKR2Z,18.0,1,70.58465346534653,23.25,6.72,6.72,148.0,6.88,5.7,6.07,5.81,6.41,5.9,4.94,7.92
3E181886XPvAibaEXe+Mha34tPf5f/9uPTaedO3v,19.0,0,78.0,30.0,6.01,6.01,73.0,4.38,6.1,4.52,6.38,5.54,5.3839999999999995,5.3839999999999995,5.3839999999999995
3E1CDC45XPvAibaEXe/uPR0E3TEtQtoDVSV6MJMV,19.0,0,62.81791285637439,24.75,7.42,7.42,152.0,7.84,6.22,6.88,6.49,7.27,7.42,6.89,8.68
3E200F5AXPvAibaEXe8kgetl0RKXUseY7Xgx37EG,19.0,0,86.0,30.0,7.13,7.13,26.0,7.13,7.13,7.13,7.13,7.13,7.13,7.13,7.13
3E253A6DXPvAibaEXe8KQ+dBN9lrea7cXsVXphKa,19.0,0,87.0,30.0,7.87,7.87,112.0,8.77,7.96,8.18,7.6,7.18,0.0,6.614999999999999,6.614999999999999
3E266302XPvAibaEXe8Hg3TLdpkUkpmmAkIqTqnt,19.0,0,100.0,30.0,6.08,6.08,87.0,6.24,6.24,7.2,6.92,4.18,6.156000000000001,6.156000000000001,6.156000000000001
3E2BE36EXPvAibaEXe/hbpXNN0JwR/zA+VO+xZKF,19.0,0,100.0,30.0,8.39,8.39,56.0,8.74,8.55,7.86,8.383333333333333,8.383333333333333,8.383333333333333,8.383333333333333,8.383333333333333
3E31C31AXPvAibaEXe+E+n9mGyneJ0V6JHJoJSe+,18.0,0,70.58465346534653,22.75,7.13,7.13,149.0,7.93,6.16,5.69,6.51,6.74,7.28,8.23,7.54
3E33636DXPvAibaEXe/dzmB8igeRMFMuhQk2MJMG,19.0,0,78.0,30.0,8.33,8.33,92.0,8.0,8.64,8.51,8.13,8.2,8.296000000000001,8.296000000000001,8.296000000000001
